wind_onshore,pv,load,installed_renewables
0.973,0.207,0.08281643836,0.207
0.971,0.009,0.08469863014,0.009
0.966,0,0.09881506849,0
0.963,0,0.1035205479,0
0.955,0,0.09881506849,0
0.946,0,0.09222739726,0
0.933,0,0.07716986301,0
0.926,0,0.06681780822,0
0.926,0,0.06399452055,0
0.931,0,0.06023013699,0
0.935,0,0.05834794521,0
0.939,0,0.05740684932,0
0.938,0,0.0592890411,0
0.928,0,0.06587671233,0
0.911,0.091,0.06964109589,0.091
0.926,0.335,0.07434657534,0.335
0.934,0.507,0.07622876712,0.507
0.932,0.635,0.07905205479,0.635
0.928,0.703,0.08469863014,0.703
0.927,0.752,0.08658082192,0.752
0.926,0.742,0.08658082192,0.742
0.924,0.684,0.08752191781,0.684
0.926,0.580,0.08469863014,0.580
0.933,0.422,0.08281643836,0.422
0.939,0.203,0.08281643836,0.203
0.942,0.008,0.08469863014,0.008
0.943,0,0.09881506849,0
0.947,0,0.1035205479,0
0.945,0,0.09881506849,0
0.944,0,0.09222739726,0
0.942,0,0.07716986301,0
0.939,0,0.06681780822,0
0.933,0,0.06399452055,0
0.925,0,0.06023013699,0
0.918,0,0.05834794521,0
0.915,0,0.05740684932,0
0.908,0,0.0592890411,0
0.895,0,0.06587671233,0
0.887,0.100,0.06964109589,0.100
0.913,0.338,0.07434657534,0.338
0.924,0.515,0.07622876712,0.515
0.920,0.646,0.07905205479,0.646
0.916,0.726,0.08469863014,0.726
0.916,0.762,0.08658082192,0.762
0.918,0.752,0.08658082192,0.752
0.922,0.698,0.08752191781,0.698
0.926,0.591,0.08469863014,0.591
0.934,0.430,0.08281643836,0.430
0.941,0.211,0.08281643836,0.211
0.938,0.010,0.08469863014,0.010
0.945,0,0.09881506849,0
0.957,0,0.1035205479,0
0.956,0,0.09881506849,0
0.954,0,0.09222739726,0
0.947,0,0.07716986301,0
0.934,0,0.06681780822,0
0.924,0,0.06399452055,0
0.930,0,0.06023013699,0
0.934,0,0.05834794521,0
0.935,0,0.05740684932,0
0.929,0,0.0592890411,0
0.914,0,0.06587671233,0
0.897,0.090,0.06964109589,0.090
0.888,0.310,0.07434657534,0.310
0.875,0.501,0.07622876712,0.501
0.858,0.621,0.07905205479,0.621
0.837,0.700,0.08469863014,0.700
0.820,0.748,0.08658082192,0.748
0.808,0.755,0.08658082192,0.755
0.802,0.713,0.08752191781,0.713
0.811,0.605,0.08469863014,0.605
0.826,0.441,0.08281643836,0.441
0.839,0.218,0.08281643836,0.218
0.835,0.011,0.08469863014,0.011
0.840,0,0.09881506849,0
0.858,0,0.1035205479,0
0.865,0,0.09881506849,0
0.862,0,0.09222739726,0
0.865,0,0.07716986301,0
0.859,0,0.06681780822,0
0.849,0,0.06399452055,0
0.863,0,0.06023013699,0
0.862,0,0.05834794521,0
0.859,0,0.05740684932,0
0.854,0,0.0592890411,0
0.849,0,0.06587671233,0
0.847,0.088,0.06964109589,0.088
0.851,0.319,0.07434657534,0.319
0.839,0.510,0.07622876712,0.510
0.817,0.642,0.07905205479,0.642
0.796,0.722,0.08469863014,0.722
0.780,0.774,0.08658082192,0.774
0.771,0.776,0.08658082192,0.776
